station_code,monitoring_location,state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,nitrate_minmissing,nitrate_maxmissing,fecal_coliform_minmissing,fecal_coliform_maxmissing,total_coliform_minmissing,total_coliform_maxmissing
3108,RIVER BERENG AT CHOWKHAM ARUNACHAL PRADESH,Unknown,1.332673388161047,27.6,0.33647223662121295,2.2925347571405443,1.1404678946996611,1.188569495837426,4.663439094112067,5.3230099791384085,0.5265890341390445,0.5265890341390445,0.0,0.0,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
1527,RIVER BHOGDOI AT JORHAT,ASSAM ASSAM,1.4087998161504007,33.0,1.8245492920510458,2.2512917986064953,1.1079512931919122,1.136632125546019,4.948759890378168,5.556828061699537,0.7249901376627339,0.8121574488561436,0.3852648696622473,0.6288586214346804,5.8888779583328805,6.814542897259958,6.814542897259958,7.601402334583733,0,0,0,0,0,0
3769,RIVER BHOGDOI (PUJADUBI GHAT) INTAKE POINT OF URBAN WATER SUPPLY,JORHAT ASSAM,1.4087998161504007,33.0,1.9459101490553132,2.1972245773362196,1.1079512931919122,1.1516230654638673,4.9344739331306915,5.43372200355424,0.6706517679334237,0.8480123479654416,0.3852648696622473,0.6288586214346804,5.707110264748875,6.594413459749778,6.55250788703459,7.00397413672268,0,0,0,0,0,0
1258,RIVER JHANJI AT N.H. CROSSING JORHAT,ASSAM ASSAM,1.3852268599316875,32.0,1.8718021769015913,2.2082744135228043,1.1079512931919122,1.1404678946996611,4.709530201312334,4.890349128221754,0.7567800314634664,0.8245849404538181,0.3852648696622473,0.6288586214346804,5.707110264748875,5.8888779583328805,6.580639137284949,7.650168700845001,0,0,0,0,0,0
2063,RIVER JIA BHARALI AT BISWANATH CHARALI,SONITPUR ASSAM,1.372306733580753,25.0,2.0541237336955462,2.0794415416798357,1.1247482629090362,1.1442438708753242,4.844187086458591,4.962844630259907,0.7412763113750152,0.8121574488561436,0.425678272731624,0.7078482962561656,5.8888779583328805,6.594413459749778,6.814542897259958,7.601402334583733,0,0,0,0,0,0
2239,RIVER SANKOSH DHUBRI,ASSAM ASSAM,1.4087998161504007,33.0,1.8245492920510458,1.8562979903656263,1.120655136649004,1.1516230654638673,4.844187086458591,5.030437921392435,0.7412763113750152,0.8121574488561436,0.3852648696622473,0.7078482962561656,5.707110264748875,6.814542897259958,6.431331081933479,7.601402334583733,0,0,0,0,0,0
2890,SANUO RU BELOW NEW SECRETARIAT NAGALAND,Unknown,1.364138386349311,26.1,1.9878743481543455,2.1400661634962708,1.1035676640041991,1.1947055233182953,5.030437921392435,6.626717749249025,0.6288586214346804,0.7412763113750152,0.23298636309433307,1.0144542615656185,3.332204510175204,5.351858133476067,5.14166355650266,7.170888478512505,0,0,1,1,1,1
2233,"RIVER BOGINADI NEAR BRIDGE NH-52, LAKHIMPUR",ASSAM ASSAM,1.3852268599316875,32.0,1.8718021769015913,1.9878743481543455,1.1327348211905697,1.15878230575197,4.727387818712341,4.919980925828125,0.7412763113750152,0.7992063962999625,0.34036828580419143,0.7412763113750152,6.431331081933479,6.836259277277067,7.170888478512505,7.601402334583733,0,0,0,0,0,0
3372,RIVER RILANG AT MAWKYRWAT,MEGHALAYA,1.3105061862047918,19.0,2.1162555148025524,2.2823823856765264,1.1164927212656812,1.1327348211905697,3.4339872044851463,3.6888794541139363,0.5265890341390445,0.554997910349126,0.24500815840403262,0.2953449160220252,1.0986122886681096,1.0986122886681096,3.2188758248682006,4.174387269895637,0,0,0,0,0,0
3377,RIVER MYNTANG AT NARTIANG MEGHALAYA,Unknown,1.2711498482847257,20.0,2.028148247292285,2.2192034840549946,1.1164927212656812,1.128774165230374,3.5553480614894135,3.828641396489095,0.6059043893061568,0.7856910232488902,0.24500815840403262,1.0478800542548918,1.0986122886681096,3.8918202981106265,5.442417710521793,6.293419278846481,0,0,0,0,0,0
3378,RIVER MYNTANG AT MYNSO MEGHALAYA,Unknown,1.223156202527103,20.0,2.0918640616783932,2.272125885509337,1.1122588588360713,1.128774165230374,3.6109179126442243,3.8501476017100584,0.5265890341390445,0.65039140701146,0.2567095481622473,1.0500728378938504,1.0986122886681096,1.9459101490553132,3.1780538303479458,3.912023005428146,0,0,0,0,0,0
3380,RIVER DAMRING (KRISHNAI RIVER) AT RESUBELPARA MEGHALAYA,Unknown,1.327761429538331,22.0,2.0794415416798357,2.186051276738094,1.120655136649004,1.1479617260213135,4.07753744390572,4.343805421853684,0.6059043893061568,0.7567800314634664,0.24500815840403262,0.34036828580419143,2.5649493574615367,4.1588830833596715,5.860786223465865,6.55250788703459,0,0,0,0,0,0
3381,RIVER MANDA (DUDHNOI RIVER) AT JAMGE,MEGHALAYA,1.327761429538331,22.0,2.028148247292285,2.151762203259462,1.1079512931919122,1.120655136649004,4.110873864173311,4.31748811353631,0.65039140701146,0.8121574488561436,0.24500815840403262,0.3589201131569047,3.1780538303479458,4.795790545596741,5.739792912179234,6.673297967767654,0,0,0,0,0,0
3382,RIVER MANDA (DUDHNOI RIVER) AT WAGEASI MEGHALAYA,Unknown,1.327761429538331,22.0,2.0794415416798357,2.151762203259462,1.1247482629090362,1.1442438708753242,4.060443010546419,4.356708826689592,0.65039140701146,0.7856910232488902,0.24500815840403262,0.31595137114025296,2.5649493574615367,4.709530201312334,5.739792912179234,6.447305862541213,0,0,0,0,0,0
2050,"RIVER TLAWNG MID STREAM, REIEK KAI, AIZAWL",U/S OF TLAWNG BRIDGE MIZORAM,1.3852268599316875,25.0,1.8082887711792655,2.2192034840549946,1.136632125546019,1.1757923457184887,4.634728988229636,5.908082938168931,0.5265890341390445,0.6059043893061568,0.0196091059213221,0.37230508788538696,1.0986122886681096,5.017279836814924,5.351858133476067,7.783640596221253,0,0,0,0,0,0
2051,"RIVER TLAWNG MID STREAM, REIEK KAI, AIZAWL",D/S OF TLAWNG BRIDGE MIZORAM,1.3852268599316875,25.0,1.840549633397487,2.2407096892759584,1.136632125546019,1.1724865954782526,4.709530201312334,5.8998973535824915,0.5265890341390445,0.65039140701146,0.0196091059213221,0.3852648696622473,1.0986122886681096,5.017279836814924,5.351858133476067,7.783640596221253,0,0,0,0,0,0
2053,"RIVER TUIRIAL MID STREAM, TUIRIAL VILLAGE",D/S OF TUIRIAL BRIDGE MIZORAM,1.3852268599316875,24.0,1.6486586255873816,2.2300144001592104,1.1122588588360713,1.1757923457184887,4.983606621708336,6.061456918928017,0.5265890341390445,0.5813534384286917,0.0196091059213221,0.5494891973496256,1.3862943611198906,5.484796933490655,7.00397413672268,7.783640596221253,0,0,0,0,0,0
3709,RIVER TLAWNG SAIRANG MIZORAM,Unknown,1.3852268599316875,26.0,1.9021075263969205,2.451005098112319,1.1327348211905697,1.182267876936692,4.882801922586371,5.799092654460526,0.5265890341390445,0.7078482962561656,0.0196091059213221,1.019409170241888,1.0986122886681096,5.484796933490655,7.00397413672268,7.783640596221253,0,0,0,0,0,0
