state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,fecal_streptococci_min,fecal_streptococci_max,temp_range,temp_avg,do_range,do_avg,ph_range,ph_avg,conductivity_range,conductivity_avg,bod_range,bod_avg,nitrate_range,nitrate_avg,fecal_coliform_range,fecal_coliform_avg,total_coliform_range,total_coliform_avg,wqi_category
68.0,26.0,27.0,7.8,8.9,7.8,8.0,209.0,241.0,1.0,1.1,0.8,0.97,94.0,140.0,280.0,340.0,6.0,8.4,1.0,26.5,1.1000000000000005,8.35,0.20000000000000018,7.9,32.0,225.0,0.10000000000000009,1.05,0.16999999999999993,0.885,46.0,117.0,60.0,310.0,Poor
31.0,7.0,11.5,9.1,9.4,7.5,8.3,141.0,534.0,1.0,1.0,0.32,1.49,2.0,33.0,9.0,280.0,2.0,2.0,4.5,9.25,0.3000000000000007,9.25,0.8000000000000007,7.9,393.0,337.5,0.0,1.0,1.17,0.905,31.0,17.5,271.0,144.5,Good
31.0,7.0,11.5,9.2,9.5,7.8,8.4,127.0,531.0,1.0,1.0,0.32,1.5,2.0,49.0,7.0,1600.0,2.0,2.0,4.5,9.25,0.3000000000000007,9.35,0.6000000000000005,8.1,404.0,329.0,0.0,1.0,1.18,0.91,47.0,25.5,1593.0,803.5,Good
31.0,7.0,11.5,9.0,9.3,7.6,8.4,118.0,505.0,1.0,1.0,0.32,1.19,2.0,350.0,4.0,1600.0,2.0,2.0,4.5,9.25,0.3000000000000007,9.15,0.8000000000000007,8.0,387.0,311.5,0.0,1.0,0.8699999999999999,0.755,348.0,176.0,1596.0,802.0,Poor
31.0,7.5,11.5,9.0,9.3,7.6,8.4,118.0,490.0,1.0,1.0,0.32,1.4,7.0,33.0,17.0,350.0,2.0,2.0,4.0,9.5,0.3000000000000007,9.15,0.8000000000000007,8.0,372.0,304.0,0.0,1.0,1.0799999999999998,0.86,26.0,20.0,333.0,183.5,Good
31.0,7.0,11.5,9.0,9.3,7.8,8.4,122.0,481.0,1.0,1.0,0.32,1.23,5.0,140.0,17.0,350.0,2.0,2.0,4.5,9.25,0.3000000000000007,9.15,0.6000000000000005,8.1,359.0,301.5,0.0,1.0,0.9099999999999999,0.775,135.0,72.5,333.0,183.5,Poor
31.0,7.5,12.0,8.7,9.3,7.5,8.3,119.0,517.0,1.0,1.0,0.32,1.44,2.0,33.0,11.0,350.0,2.0,2.0,4.5,9.75,0.6000000000000014,9.0,0.8000000000000007,7.9,398.0,318.0,0.0,1.0,1.1199999999999999,0.88,31.0,17.5,339.0,180.5,Good
31.0,7.0,12.0,8.9,9.4,7.5,8.5,117.0,491.0,1.0,1.0,0.32,1.39,2.0,110.0,7.0,540.0,2.0,2.0,5.0,9.5,0.5,9.15,1.0,8.0,374.0,304.0,0.0,1.0,1.0699999999999998,0.855,108.0,56.0,533.0,273.5,Poor
31.0,7.0,12.0,8.8,9.3,7.8,8.4,121.0,460.0,1.0,1.0,0.32,1.39,2.0,27.0,8.0,540.0,2.0,2.0,5.0,9.5,0.5,9.05,0.6000000000000005,8.1,339.0,290.5,0.0,1.0,1.0699999999999998,0.855,25.0,14.5,532.0,274.0,Good
31.0,7.5,12.0,8.7,9.3,7.7,8.4,108.0,468.0,1.0,1.0,0.32,1.4,2.0,46.0,9.0,1600.0,2.0,2.0,4.5,9.75,0.6000000000000014,9.0,0.7000000000000002,8.05,360.0,288.0,0.0,1.0,1.0799999999999998,0.86,44.0,24.0,1591.0,804.5,Good
31.0,7.0,12.0,8.7,9.3,7.5,8.4,115.0,437.0,1.0,1.0,0.32,1.43,5.0,22.0,17.0,350.0,2.0,2.0,5.0,9.5,0.6000000000000014,9.0,0.9000000000000004,7.95,322.0,276.0,0.0,1.0,1.1099999999999999,0.875,17.0,13.5,333.0,183.5,Good
31.0,7.5,13.5,8.7,9.2,7.5,8.3,105.0,254.0,1.0,1.0,0.32,1.42,7.0,170.0,17.0,1600.0,2.0,2.0,6.0,10.5,0.5,8.95,0.8000000000000007,7.9,149.0,179.5,0.0,1.0,1.0999999999999999,0.87,163.0,88.5,1583.0,808.5,Poor
31.0,7.5,13.0,8.5,9.3,7.7,8.3,107.0,251.0,1.0,1.0,0.32,0.95,2.0,39.0,17.0,350.0,2.0,2.0,5.5,10.25,0.8000000000000007,8.9,0.6000000000000005,8.0,144.0,179.0,0.0,1.0,0.6299999999999999,0.635,37.0,20.5,333.0,183.5,Good
31.0,8.0,13.5,8.6,9.2,7.6,8.3,100.0,249.0,1.0,1.0,0.32,0.95,2.0,280.0,5.0,1600.0,2.0,2.0,5.5,10.75,0.5999999999999996,8.899999999999999,0.7000000000000011,7.95,149.0,174.5,0.0,1.0,0.6299999999999999,0.635,278.0,141.0,1595.0,802.5,Poor
31.0,7.5,14.0,8.6,9.3,6.5,8.2,117.0,447.0,1.0,1.0,0.32,3.95,4.0,26.0,17.0,1600.0,2.0,2.0,6.5,10.75,0.7000000000000011,8.95,1.6999999999999993,7.35,330.0,282.0,0.0,1.0,3.6300000000000003,2.1350000000000002,22.0,15.0,1583.0,808.5,Good
31.0,7.0,13.0,8.5,9.3,7.5,8.3,97.0,245.0,1.0,1.0,0.32,0.77,7.0,39.0,32.0,920.0,2.0,2.0,6.0,10.0,0.8000000000000007,8.9,0.8000000000000007,7.9,148.0,171.0,0.0,1.0,0.45,0.545,32.0,23.0,888.0,476.0,Good
31.0,7.5,13.0,8.6,9.2,7.5,8.2,104.0,253.0,1.0,1.0,0.32,0.89,2.0,79.0,7.0,1600.0,2.0,2.0,5.5,10.25,0.5999999999999996,8.899999999999999,0.6999999999999993,7.85,149.0,178.5,0.0,1.0,0.5700000000000001,0.605,77.0,40.5,1593.0,803.5,Good
31.0,9.0,26.0,8.3,9.2,7.4,8.0,102.0,235.0,1.0,1.0,0.32,2.21,23.0,84.0,110.0,280.0,2.0,2.0,17.0,17.5,0.8999999999999986,8.75,0.5999999999999996,7.7,133.0,168.5,0.0,1.0,1.89,1.265,61.0,53.5,170.0,195.0,Good
31.0,10.0,33.0,8.1,8.9,6.8,8.3,150.0,335.0,1.0,2.8,0.39,3.5,33.0,1600.0,240.0,1600.0,2.0,2.0,23.0,21.5,0.8000000000000007,8.5,1.5000000000000009,7.550000000000001,185.0,242.5,1.7999999999999998,1.9,3.11,1.945,1567.0,816.5,1360.0,920.0,Poor
31.0,7.0,13.0,8.9,9.4,7.5,8.3,117.0,258.0,1.0,1.0,0.32,1.01,5.0,26.0,17.0,350.0,2.0,2.0,6.0,10.0,0.5,9.15,0.8000000000000007,7.9,141.0,187.5,0.0,1.0,0.69,0.665,21.0,15.5,333.0,183.5,Good
31.0,7.5,13.0,8.9,9.4,7.6,8.2,100.0,248.0,1.0,1.0,0.32,0.82,7.0,110.0,17.0,1600.0,2.0,2.0,5.5,10.25,0.5,9.15,0.5999999999999996,7.8999999999999995,148.0,174.0,0.0,1.0,0.49999999999999994,0.57,103.0,58.5,1583.0,808.5,Poor
31.0,16.5,23.0,7.0,9.8,7.9,8.3,230.0,356.0,1.0,1.0,0.42,0.71,20.0,4500.0,460.0,33000.0,17.0,130.0,6.5,19.75,2.8000000000000007,8.4,0.40000000000000036,8.100000000000001,126.0,293.0,0.0,1.0,0.29,0.565,4480.0,2260.0,32540.0,16730.0,Poor
